2026-03-14T05:36:06.584 | INFO     | core.middleware | GET /api/donationalerts/status - Status: 200 - Time: 0.132s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.599 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.135s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.625 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.161s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.654 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.194s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:06.898 | INFO     | bot_service | YouTube settings saved for user 1
2026-03-14T05:36:06.901 | INFO     | core.middleware | POST /api/tts/youtube-settings - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:07.044 | INFO     | core.middleware | GET /api/drops/qualities - Status: 200 - Time: 0.014s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:36:07.046 | INFO     | core.middleware | GET /api/drops/rewards/yourchy - Status: 200 - Time: 0.016s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:37:06.691 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.010s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:38:06.710 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.023s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:38:06.711 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.023s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:38:06.737 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.017s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:39:06.768 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.009s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:40:06.753 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.020s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:40:06.755 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.019s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:40:06.803 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.020s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:40:49.526 | INFO     | core.middleware | GET /api/drops/history/yourchy - Status: 200 - Time: 0.021s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:41:06.872 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:06.791 | INFO     | core.middleware | GET /api/tts/status - Status: 200 - Time: 0.024s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:06.791 | INFO     | core.middleware | GET /api/chat/status - Status: 200 - Time: 0.025s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:06.899 | INFO     | core.middleware | GET /api/youtube/queue - Status: 200 - Time: 0.008s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:10.321 | INFO     | core.middleware | GET /api/drops/config/yourchy - Status: 200 - Time: 0.035s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:10.323 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.035s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:10.961 | INFO     | core.middleware | GET /api/drops/history/yourchy - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
2026-03-14T05:42:11.678 | INFO     | core.middleware | GET /api/drops/streaks/yourchy - Status: 200 - Time: 0.013s - User: Anonymous - IP: 127.0.0.1
